"id","number","question","answer","created_at","updated_at"
"1","1","<p>Jika&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>2</mn><mi>x</mi><mo>-</mo><mn>3</mn><mi>y</mi><mo>=</mo><mn>3</mn></math>, berapa nilai&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><msup><mn>16</mn><mi>x</mi></msup><msup><mn>64</mn><mi>y</mi></msup></mfrac></math></p>","D","2024-08-22 06:16:51","2024-08-22 06:16:51"
"2","2","<p>Jika diketahui vektor&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>(</mo><mi>u</mi><mo>×</mo><mi>v</mi><mo>)</mo><mo>·</mo><mi>w</mi><mo>=</mo><mn>20</mn></math>, maka&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>(</mo><mi>w</mi><mo>×</mo><mi>v</mi><mo>)</mo><mo>·</mo><mi>x</mi></math>&nbsp;adalah ...</p>","E","2024-08-22 06:18:43","2024-08-23 22:04:06"
"3","3","<p>Diketahui matriks A berukuran 3x3 dan&nbsp;|<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>A</mi></math>|<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>=</mo><mn>3</mn></math>. Hitunglah&nbsp;|<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>2</mn><msup><mi>A</mi><mrow><mo>-</mo><mn>1</mn></mrow></msup></math>|!</p>","A","2024-08-22 06:22:46","2024-08-24 20:50:04"
"4","4","<p>Jika diketahui&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>tan</mi><mfenced><mi>a</mi></mfenced><mo>=</mo><mfrac><mrow><mo>-</mo><mn>5</mn></mrow><mn>12</mn></mfrac></math>&nbsp;pada kuadran 4, tentukan nilai dari&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>cos</mi></math>(<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>α</mi></math>)&nbsp;dan&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>csc</mi></math>(<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>α</mi></math>)&nbsp;adalah ...</p>","C","2024-08-22 06:25:22","2024-08-23 22:06:58"
"5","5","<p>Sebuah perusahaan sedang mengikuti 3 tender proyek pembangunan di Kota Surabaya. Peluang perusahaan tersebut memenangkan tender A sebesar 0.4, tender B sebesar 0.7, dan tender C sebesar 0.5. Berapakah peluang perusahaan tersebut memenangkan salah 1 proyek yang diikuti?</p>","B","2024-08-22 06:26:01","2024-08-22 06:26:01"
"6","6","<p>Tentukan invers dari fungsi&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>5</mn><mi>x</mi><mo>+</mo><mn>15</mn></math></p>","D","2024-08-22 06:28:42","2024-09-19 18:12:06"
"7","7","<p>Tentukan himpunan penyelesaian dari&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>6</mn><mi>x</mi><mo>-</mo><mn>8</mn><mi>y</mi><mo>=</mo><mo>-</mo><mn>17</mn></math>&nbsp;dan&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>4</mn><mi>x</mi><mo>+</mo><mn>3</mn><mi>y</mi><mo>=</mo><mn>47</mn></math></p>","E","2024-08-22 06:29:42","2024-08-23 22:04:49"
"8","8","<p>Sebuah kipas angin memiliki spesifikasi 100 W, 220 V. Jika listrik di sebuah rumah tegangannya drop menjadi 160 V dan biaya rekening listrik Rp. 1600 per kwh, berapa biaya listrik yang harus dibayar setiap jam penggunaan?</p>","A","2024-08-22 06:30:11","2024-08-22 06:30:11"
"9","9","<p>Sebuah partikel ditembakan dari tanah dengan kecepatan awal&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>10</mn><mi>m</mi><mo>/</mo><mi>s</mi></math>&nbsp;dan sudut 30<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>°</mo></math>&nbsp;dari bidang horizontal. Tentukan jarak horizontal partikel!</p>","D","2024-08-22 06:31:37","2024-08-22 06:31:37"
"10","10","<p>Sebanyak 250 gram air dipanaskan dari&nbsp;42℃ menjadi&nbsp;65℃&nbsp; Jika diketahui massa jenis air 0.9 kal / g ℃ . Banyaknya kalor yang diterima air tersebut adalah….</p>","D","2024-08-22 06:32:28","2024-08-22 06:32:28"
"11","11","<p>Sebuah bola bermassa m dan berkecepatan v bertabrakan secara lenting sebagian dengan bola yang identik, bola 1 berhenti dan memberikan 50% energinya untuk bola kedua. Bola 2 ini kemudian bertabrakan kembali secara lenting sebagian dengan bola identik ketiga, bola 2 berhenti dan memberikan 50% energinya untuk bola ketiga. Berapa kecepatan akhir bola ketiga? (Jawaban dalam v)</p>","B","2024-08-22 06:32:56","2024-08-22 06:32:56"
"12","12","<p>5 pipa kecil dengan radius yang sama membawa air ke pipa besar dengan radius 10 kali lebih besar. Jika air bergerak dengan kecepatan v di pipa yang lebih besar. Berapa kecepatan air pada salah satu pipa yang kecil?</p>","D","2024-08-22 06:33:23","2024-08-22 06:33:23"
"13","13","<p>Transformer step up memiliki jumlah lilitan pada kumparan sekunder sebesar&nbsp; 660 lilitan dan digunakan untuk menaikan tegangan dari 6 V menjadi 220 V, berapakah jumlah lilitan pada kumparan primer?</p>","A","2024-08-22 06:33:59","2024-08-22 06:33:59"
"14","14","<p>Sebuah benda bergerak harmonik sederhana dengan persamaan&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>y</mi><mo>=</mo><mn>3</mn><mo>&nbsp;</mo><mi>sin</mi><mfenced><mrow><mn>8</mn><mi>π</mi><mi>t</mi></mrow></mfenced></math>, dengan y dalam cm dan t dalam sekon. Periode getaran benda tersebut adalah…</p>","B","2024-08-22 06:35:31","2024-08-23 22:05:13"
"15","15","<ol><li>Hasil penyetaraan dari reaksi redoks&nbsp;<math class=""wrs_chemistry"" xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>Cr</mi><mn>2</mn></msub><msup><msub><mi mathvariant=""normal"">O</mi><mn>7</mn></msub><mrow><mn>2</mn><mo>-</mo></mrow></msup><mo>+</mo><msub><mi>SO</mi><mn>2</mn></msub><mo>→</mo><msup><mi>Cr</mi><mrow><mn>3</mn><mo>+</mo></mrow></msup><mo>+</mo><msup><msub><mi>HSO</mi><mn>4</mn></msub><mo>-</mo></msup></math>&nbsp;dalam keadaan asam adalah…</li></ol>","B","2024-08-22 06:40:41","2024-09-19 18:15:39"
"16","16","<p>Berapa banyak larutan alkohol yang dihasilkan setelah larutan alkohol 95% sebanyak 150 ml diencerkan menjadi larutan alkohol 70%?</p>","E","2024-08-22 06:41:14","2024-08-22 06:41:14"
"17","17","<p>Suatu senyawa yang terbentuk dengan cara menggunakan pasangan elektron bersama mempunyai ikatan apa?</p>","D","2024-08-22 06:41:42","2024-08-22 06:41:42"
"18","18","<p>Asam Benzoat (<math class=""wrs_chemistry"" xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi mathvariant=""normal"">C</mi><mn>6</mn></msub><msub><mi mathvariant=""normal"">H</mi><mn>5</mn></msub><mi>COONa</mi></math>) sering digunakan sebagai…</p>","A","2024-08-22 06:43:09","2024-08-22 06:43:09"
"19","19","<p>Molekul yang berfungsi untuk mempercepat reaksi kimia pada proses metabolisme disebut ...</p>","C","2024-08-22 06:43:36","2024-08-22 06:43:36"
"20","20","<p>Bilangan oksidasi&nbsp;<math class=""wrs_chemistry"" xmlns=""http://www.w3.org/1998/Math/MathML""><mi>Cl</mi></math>&nbsp;dalam senyawa&nbsp;<math class=""wrs_chemistry"" xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>KClO</mi><mn>2</mn></msub></math>&nbsp;adalah ...</p>","D","2024-08-22 06:45:00","2024-08-22 06:45:00"
"21","21","<p>Sistem koloid dari zat cair yang terdispersi dalam zat cair disebut ...</p>","B","2024-08-22 06:45:29","2024-08-22 06:45:29"
"22","22","<p>Berikut ini yang merupakan hormon yang merangsang pembentukkan bunga adalah ...</p>","B","2024-08-22 06:45:54","2024-08-22 06:45:54"
"23","23","<p>Berikut adalah tanaman buah berry kecuali ...</p>","E","2024-08-22 06:46:19","2024-08-22 06:46:19"
"24","24","<p>Gula buah disebut juga sebagai ...</p>","D","2024-08-22 06:46:42","2024-08-22 06:46:42"
"25","25","<p>Sekumpulan populasi dari berbagai spesies yang hidup bersama dan berinteraksi dalam suatu area geografis tertentu pada waktu yang sama adalah definisi dari ...</p>","A","2024-08-22 06:47:10","2024-08-22 06:47:10"
"26","26","<p>Berikut adalah klasifikasi dari tumbuhan paku kecuali ...</p>","C","2024-08-22 06:47:34","2024-08-22 06:47:34"
"27","27","<p>Bagian tubuh yang berfungsi untuk membawa darah kaya oksigen dari paru-paru ke jantung disebut ...</p>","A","2024-08-22 06:47:58","2024-08-22 06:47:58"
"28","28","<p><i>Rhizobium leguminosarum</i> berperan dalam pengikatan unsur ...</p>","D","2024-08-22 06:48:26","2024-08-22 06:48:26"
"29","29","<p>Apa yang dimaksud dengan desain sistem manufaktur&nbsp;<i>make to order&nbsp;</i>(MTO)?</p>","E","2024-08-22 06:48:58","2024-08-22 06:48:58"
"30","30","<p>Apa perbedaan dari Gross National Product (GNP) dengan Gross Domestic Product (GDP)?</p>","D","2024-08-22 06:49:32","2024-08-22 06:49:32"
"31","31","<p>Berikut yang termasuk 7 waste kecuali ...</p>","B","2024-08-22 06:50:00","2024-08-22 06:50:00"
"32","32","<p>Sebuah produk dapat dikatakan ergonomis jika ...</p>","A","2024-08-22 06:50:32","2024-08-22 06:50:32"
"33","33","<p>Tempat parkir seluas 900 meter persegi hanya mampu menampung 58 bus atau 58 mobil. Setiap mobil membutuhkan tempat 6 meter persegi dan bus 24 meter persegi. Biaya parkir mobil dan bus berturut-turut adalah Rp. 500 dan Rp. 750. Berapa pendapatan optimal yang dapat dihasilkan?</p>","B","2024-08-22 06:50:57","2024-08-22 06:50:57"
"34","34","<p>Berikut adalah contoh produksi konvensional ...</p>","D","2024-08-22 06:51:29","2024-08-22 06:51:29"
"35","35","<p>Jenis logam yang digunakan sebagai bahan baku pembuatan struktur pesawat karena ringan, tahan korosi, ulet, dan kuat adalah ...</p>","C","2024-08-22 06:51:51","2024-08-22 06:51:51"
