"id","mc_question_id","alphabet","choice","created_at","updated_at"
"1","1","A","16","2024-08-22 06:16:51","2024-08-22 06:16:51"
"2","1","B","4","2024-08-22 06:16:51","2024-08-22 06:16:51"
"3","1","C","32","2024-08-22 06:16:51","2024-08-22 06:16:51"
"4","1","D","64","2024-08-22 06:16:51","2024-08-22 06:16:51"
"5","1","E","256","2024-08-22 06:16:51","2024-08-22 06:16:51"
"6","2","A","40","2024-08-22 06:18:43","2024-08-22 06:18:43"
"7","2","B","10","2024-08-22 06:18:43","2024-08-22 06:18:43"
"8","2","C","-40","2024-08-22 06:18:43","2024-08-22 06:18:43"
"9","2","D","20","2024-08-22 06:18:43","2024-08-22 06:18:43"
"10","2","E","-20","2024-08-22 06:18:43","2024-08-22 06:18:43"
"11","3","A","1/24","2024-08-22 06:22:46","2024-08-22 06:22:46"
"12","3","B","6","2024-08-22 06:22:46","2024-08-22 06:22:46"
"13","3","C","1/27","2024-08-22 06:22:46","2024-08-22 06:22:46"
"14","3","D","3","2024-08-22 06:22:46","2024-08-22 06:22:46"
"15","3","E","1/6","2024-08-22 06:22:46","2024-08-22 06:22:46"
"16","4","A","cos(a) = -12/13, csc(a) = 13/5","2024-08-22 06:25:22","2024-08-22 06:25:22"
"17","4","B","cos(a) = -12/13, csc(a) = -13/12","2024-08-22 06:25:22","2024-08-22 06:25:22"
"18","4","C","cos(a) = 12/13, csc(a) = -13/5","2024-08-22 06:25:22","2024-08-22 06:25:22"
"19","4","D","cos(a) = 12/13, csc(a) = -13/12","2024-08-22 06:25:22","2024-08-22 06:25:22"
"20","4","E","cos(a) = 12/13, csc(a) = 13/12","2024-08-22 06:25:22","2024-08-22 06:25:22"
"21","5","A","0.014134","2024-08-22 06:26:01","2024-08-22 06:26:01"
"22","5","B","0.001134","2024-08-22 06:26:01","2024-08-22 06:26:01"
"23","5","C","0.01311","2024-08-22 06:26:01","2024-08-22 06:26:01"
"24","5","D","0.00131","2024-08-22 06:26:01","2024-08-22 06:26:01"
"25","5","E","0.014431","2024-08-22 06:26:01","2024-08-22 06:26:01"
"26","6","A","f^-1(x) =5 x - 15","2024-08-22 06:28:42","2024-08-22 06:28:42"
"27","6","B","f^-1(x) =5 x - 5","2024-08-22 06:28:42","2024-08-22 06:28:42"
"28","6","C","f^-1(x) =5 x - 3","2024-08-22 06:28:42","2024-08-22 06:28:42"
"29","6","D","f^-1(x) =x/5 - 3","2024-08-22 06:28:42","2024-08-22 06:28:42"
"30","6","E","f^-1(x) =x/5 - 5","2024-08-22 06:28:42","2024-08-22 06:28:42"
"31","7","A","x ∈ R","2024-08-22 06:29:42","2024-08-22 06:29:42"
"32","7","B","{(-6,5 ; 7)}","2024-08-22 06:29:42","2024-08-22 06:29:42"
"33","7","C","{(6,5 ; -7)}","2024-08-22 06:29:42","2024-08-22 06:29:42"
"34","7","D","{(-6,5 ; -7)}","2024-08-22 06:29:42","2024-08-22 06:29:42"
"35","7","E","{(6,5 ; 7)}","2024-08-22 06:29:42","2024-08-22 06:29:42"
"36","8","A","Rp. 83.2","2024-08-22 06:30:11","2024-08-22 06:30:11"
"37","8","B","Rp. 100","2024-08-22 06:30:11","2024-08-22 06:30:11"
"38","8","C","Rp. 52","2024-08-22 06:30:11","2024-08-22 06:30:11"
"39","8","D","Rp. 73.8","2024-08-22 06:30:11","2024-08-22 06:30:11"
"40","8","E","Rp. 96.4","2024-08-22 06:30:11","2024-08-22 06:30:11"
"41","9","A","10√2 m","2024-08-22 06:31:37","2024-08-22 06:31:37"
"42","9","B","20√2 m","2024-08-22 06:31:37","2024-08-22 06:31:37"
"43","9","C","20√3 m","2024-08-22 06:31:37","2024-08-22 06:31:37"
"44","9","D","5√3 m","2024-08-22 06:31:37","2024-08-22 06:31:37"
"45","9","E","5 m","2024-08-22 06:31:37","2024-08-22 06:31:37"
"46","10","A","2845 kal","2024-08-22 06:32:28","2024-08-22 06:32:28"
"47","10","B","3365 kal","2024-08-22 06:32:28","2024-08-22 06:32:28"
"48","10","C","4125 kal","2024-08-22 06:32:28","2024-08-22 06:32:28"
"49","10","D","5175 kal","2024-08-22 06:32:28","2024-08-22 06:32:28"
"50","10","E","6755 kal","2024-08-22 06:32:28","2024-08-22 06:32:28"
"51","11","A","v/4","2024-08-22 06:32:56","2024-08-22 06:32:56"
"52","11","B","v/2","2024-08-22 06:32:56","2024-08-22 06:32:56"
"53","11","C","v","2024-08-22 06:32:56","2024-08-22 06:32:56"
"54","11","D","2v","2024-08-22 06:32:56","2024-08-22 06:32:56"
"55","11","E","4v","2024-08-22 06:32:56","2024-08-22 06:32:56"
"56","12","A","2v","2024-08-22 06:33:23","2024-08-22 06:33:23"
"57","12","B","5v","2024-08-22 06:33:23","2024-08-22 06:33:23"
"58","12","C","10v","2024-08-22 06:33:23","2024-08-22 06:33:23"
"59","12","D","20v","2024-08-22 06:33:23","2024-08-22 06:33:23"
"60","12","E","100v","2024-08-22 06:33:23","2024-08-22 06:33:23"
"61","13","A","18 lilitan","2024-08-22 06:33:59","2024-08-22 06:33:59"
"62","13","B","36 lilitan","2024-08-22 06:33:59","2024-08-22 06:33:59"
"63","13","C","54 lilitan","2024-08-22 06:33:59","2024-08-22 06:33:59"
"64","13","D","72 lilitan","2024-08-22 06:33:59","2024-08-22 06:33:59"
"65","13","E","90 lilitan","2024-08-22 06:33:59","2024-08-22 06:33:59"
"66","14","A","1/8 sekon","2024-08-22 06:35:31","2024-08-22 06:35:31"
"67","14","B","1/4 sekon","2024-08-22 06:35:31","2024-08-22 06:35:31"
"68","14","C","1 sekon","2024-08-22 06:35:31","2024-08-22 06:35:31"
"69","14","D","4 sekon","2024-08-22 06:35:31","2024-08-22 06:35:31"
"70","14","E","8 sekon","2024-08-22 06:35:31","2024-08-22 06:35:31"
"71","15","A","Cr2O7^2- + 3SO2 + 7H^+ → 2Cr^3+ + 3HSO4 + 2H2O","2024-08-22 06:40:41","2024-08-22 06:40:41"
"72","15","B","Cr2O7^2- + 3SO2 + 5H^+ → 2Cr^3+ + 3HSO4 + H2O","2024-08-22 06:40:41","2024-08-22 06:40:41"
"73","15","C","Cr2O7^2- + 3SO2 + 5H^+ → 2Cr^3+ + 3HSO4+ + 2H2O","2024-08-22 06:40:41","2024-08-22 06:40:41"
"74","15","D","Cr2O7^2- + 2SO2 + 8H^+ → 2Cr^3+ + 2HSO4^- + 3H2O","2024-08-22 06:40:41","2024-08-22 06:40:41"
"75","15","E","Cr2O7^2- + SO2 + 8H^+ → 2Cr^3+ + HSO4^- + 5H2O","2024-08-22 06:40:41","2024-08-22 06:40:41"
"76","16","A","175 mL","2024-08-22 06:41:14","2024-08-22 06:41:14"
"77","16","B","189 mL","2024-08-22 06:41:14","2024-08-22 06:41:14"
"78","16","C","198 mL","2024-08-22 06:41:14","2024-08-22 06:41:14"
"79","16","D","210 mL","2024-08-22 06:41:14","2024-08-22 06:41:14"
"80","16","E","204 mL","2024-08-22 06:41:14","2024-08-22 06:41:14"
"81","17","A","Ikatan ion","2024-08-22 06:41:42","2024-08-22 06:41:42"
"82","17","B","Ikatan logam","2024-08-22 06:41:42","2024-08-22 06:41:42"
"83","17","C","Ikatan Van der Waals","2024-08-22 06:41:42","2024-08-22 06:41:42"
"84","17","D","Ikatan kovalen","2024-08-22 06:41:42","2024-08-22 06:41:42"
"85","17","E","Ikatan hidrogen","2024-08-22 06:41:42","2024-08-22 06:41:42"
"86","18","A","Pengawet makanan","2024-08-22 06:43:09","2024-08-22 06:43:09"
"87","18","B","Bahan peledak","2024-08-22 06:43:09","2024-08-22 06:43:09"
"88","18","C","Pewarna makanan","2024-08-22 06:43:09","2024-08-22 06:43:09"
"89","18","D","Bahan bakar biodiesel","2024-08-22 06:43:09","2024-08-22 06:43:09"
"90","18","E","Memfermentasi makanan","2024-08-22 06:43:09","2024-08-22 06:43:09"
"91","19","A","Inhibitor","2024-08-22 06:43:37","2024-08-22 06:43:37"
"92","19","B","Autokatalis","2024-08-22 06:43:37","2024-08-22 06:43:37"
"93","19","C","Biokatalis","2024-08-22 06:43:37","2024-08-22 06:43:37"
"94","19","D","Katalis homogen","2024-08-22 06:43:37","2024-08-22 06:43:37"
"95","19","E","Katalis heterogen","2024-08-22 06:43:37","2024-08-22 06:43:37"
"96","20","A","-3","2024-08-22 06:45:00","2024-08-22 06:45:00"
"97","20","B","-1","2024-08-22 06:45:00","2024-08-22 06:45:00"
"98","20","C","+1","2024-08-22 06:45:00","2024-08-22 06:45:00"
"99","20","D","+3","2024-08-22 06:45:00","2024-08-22 06:45:00"
"100","20","E","+7","2024-08-22 06:45:00","2024-08-22 06:45:00"
"101","21","A","Sol","2024-08-22 06:45:29","2024-08-22 06:45:29"
"102","21","B","Emulsi","2024-08-22 06:45:29","2024-08-22 06:45:29"
"103","21","C","Buih","2024-08-22 06:45:29","2024-08-22 06:45:29"
"104","21","D","Aerosol","2024-08-22 06:45:29","2024-08-22 06:45:29"
"105","21","E","Gel","2024-08-22 06:45:29","2024-08-22 06:45:29"
"106","22","A","Kaulokalin","2024-08-22 06:45:54","2024-08-22 06:45:54"
"107","22","B","Antokalin","2024-08-22 06:45:54","2024-08-22 06:45:54"
"108","22","C","Filokalin","2024-08-22 06:45:54","2024-08-22 06:45:54"
"109","22","D","Autokalin","2024-08-22 06:45:54","2024-08-22 06:45:54"
"110","22","E","Rhizokalin","2024-08-22 06:45:54","2024-08-22 06:45:54"
"111","23","A","Blueberry","2024-08-22 06:46:19","2024-08-22 06:46:19"
"112","23","B","Lingonberry","2024-08-22 06:46:19","2024-08-22 06:46:19"
"113","23","C","Pisang","2024-08-22 06:46:19","2024-08-22 06:46:19"
"114","23","D","Elderberry","2024-08-22 06:46:19","2024-08-22 06:46:19"
"115","23","E","Strawberry","2024-08-22 06:46:19","2024-08-22 06:46:19"
"116","24","A","Sukrosa","2024-08-22 06:46:42","2024-08-22 06:46:42"
"117","24","B","Laktosa","2024-08-22 06:46:42","2024-08-22 06:46:42"
"118","24","C","Galaktosa","2024-08-22 06:46:42","2024-08-22 06:46:42"
"119","24","D","Fruktosa","2024-08-22 06:46:42","2024-08-22 06:46:42"
"120","24","E","Maltosa","2024-08-22 06:46:42","2024-08-22 06:46:42"
"121","25","A","Komunitas","2024-08-22 06:47:10","2024-08-22 06:47:10"
"122","25","B","Ekosistem","2024-08-22 06:47:10","2024-08-22 06:47:10"
"123","25","C","Individu","2024-08-22 06:47:10","2024-08-22 06:47:10"
"124","25","D","Bioma","2024-08-22 06:47:10","2024-08-22 06:47:10"
"125","25","E","Biosfer","2024-08-22 06:47:10","2024-08-22 06:47:10"
"126","26","A","Pteridophyta","2024-08-22 06:47:34","2024-08-22 06:47:34"
"127","26","B","Lycopodiophyta","2024-08-22 06:47:34","2024-08-22 06:47:34"
"128","26","C","Hepatophyta","2024-08-22 06:47:34","2024-08-22 06:47:34"
"129","26","D","Psilophyta","2024-08-22 06:47:34","2024-08-22 06:47:34"
"130","26","E","Equisetophyta","2024-08-22 06:47:34","2024-08-22 06:47:34"
"131","27","A","Vena pulmonalis","2024-08-22 06:47:58","2024-08-22 06:47:58"
"132","27","B","Arteri pulmonalis","2024-08-22 06:47:58","2024-08-22 06:47:58"
"133","27","C","Vena cava superior","2024-08-22 06:47:58","2024-08-22 06:47:58"
"134","27","D","Aorta","2024-08-22 06:47:58","2024-08-22 06:47:58"
"135","27","E","Vas deferens","2024-08-22 06:47:58","2024-08-22 06:47:58"
"136","28","A","Oksigen","2024-08-22 06:48:26","2024-08-22 06:48:26"
"137","28","B","Karbon","2024-08-22 06:48:26","2024-08-22 06:48:26"
"138","28","C","Hidrogen","2024-08-22 06:48:26","2024-08-22 06:48:26"
"139","28","D","Nitrogen","2024-08-22 06:48:26","2024-08-22 06:48:26"
"140","28","E","Fosfor","2024-08-22 06:48:26","2024-08-22 06:48:26"
"141","29","A","Pendekatan produksi di mana barang diproduksi dan disimpan dalam gudang","2024-08-22 06:48:58","2024-08-22 06:48:58"
"142","29","B","Pendekatan produksi di mana komponen-komponen dasar diproduksi terlebih dahulu, dan perakitan akhir baru dilakukan setelah menerima pesanan dari pelanggan.","2024-08-22 06:48:58","2024-08-22 06:48:58"
"143","29","C","Pendekatan produksi di mana komponen-komponen dasar diproduksi terlebih dahulu, dan dirakit kemudian disimpan dalam gudang.","2024-08-22 06:48:58","2024-08-22 06:48:58"
"144","29","D","Pendekatan produksi manufaktur di mana produk dirancang dan diproduksi khusus berdasarkan kebutuhan spesifik pelanggan","2024-08-22 06:48:58","2024-08-22 06:48:58"
"145","29","E","Pendekatan produksi di mana barang diproduksi hanya setelah menerima pesanan dari pelanggan","2024-08-22 06:48:58","2024-08-22 06:48:58"
"146","30","A","Gross National Product (GNP) memperhitungkan total nilai barang dan jasa yang diproduksi dalam 1 negara selama periode waktu tertentu, sedangkan Gross Domestic Product (GDP)  hanya memperhitungkan total nilai barang dan jasa dari suatu wilayah di dalam negara selama periode waktu tertentu.","2024-08-22 06:49:32","2024-08-22 06:49:32"
"147","30","B","Gross National Product (GNP) berfokus pada lokasi produksi, sedangkan Gross Domestic Product (GDP) berfokus pada siapa yang melakukan produksi.","2024-08-22 06:49:32","2024-08-22 06:49:32"
"148","30","C","Gross National Product (GNP) hanya memperhitungkan nilai selisih dari ekspor dan impor suatu negara, sedangkan Gross Domestic Product (GDP) berfokus pada besarnya konsumsi pribadi, investasi negara, dan pengeluaran negara.","2024-08-22 06:49:32","2024-08-22 06:49:32"
"149","30","D","Gross National Product (GNP) memperhitungkan pendapatan dari luar negeri oleh warga negara dan pendapatan yang diperoleh oleh orang asing di dalam negeri, sedangkan Gross Domestic Product (GDP) tidak memperhitungkan hal tersebut.","2024-08-22 06:49:32","2024-08-22 06:49:32"
"150","30","E","Gross National Product (GNP) memperhitungkan total nilai rata-rata pendapatan untuk setiap satu populasi, sedangkan Gross Domestic Product (GDP)  tidak memperhitungkan hal tersebut.","2024-08-22 06:49:32","2024-08-22 06:49:32"
"151","31","A","Inventory","2024-08-22 06:50:00","2024-08-22 06:50:00"
"152","31","B","Feedback","2024-08-22 06:50:00","2024-08-22 06:50:00"
"153","31","C","Motion","2024-08-22 06:50:00","2024-08-22 06:50:00"
"154","31","D","Defects","2024-08-22 06:50:00","2024-08-22 06:50:00"
"155","31","E","Overproduction","2024-08-22 06:50:00","2024-08-22 06:50:00"
"156","32","A","Efektif, nyaman, aman, sehat, efisien","2024-08-22 06:50:32","2024-08-22 06:50:32"
"157","32","B","Aman, multifungsi, efektif, murah, sehat","2024-08-22 06:50:32","2024-08-22 06:50:32"
"158","32","C","Nyaman, efektif, aman, murah, sehat","2024-08-22 06:50:32","2024-08-22 06:50:32"
"159","32","D","Multifungsi, aman, nyaman, efektif, sehat","2024-08-22 06:50:32","2024-08-22 06:50:32"
"160","32","E","Efektif, efisien, murah, aman, nyaman","2024-08-22 06:50:32","2024-08-22 06:50:32"
"161","33","A","Rp. 35500","2024-08-22 06:50:57","2024-08-22 06:50:57"
"162","33","B","Rp. 36500","2024-08-22 06:50:57","2024-08-22 06:50:57"
"163","33","C","Rp. 34500","2024-08-22 06:50:57","2024-08-22 06:50:57"
"164","33","D","Rp. 33750","2024-08-22 06:50:57","2024-08-22 06:50:57"
"165","33","E","Rp. 38750","2024-08-22 06:50:57","2024-08-22 06:50:57"
"166","34","A","Produksi mobil menggunakan robot","2024-08-22 06:51:29","2024-08-22 06:51:29"
"167","34","B","Membajak sawah dengan traktor","2024-08-22 06:51:29","2024-08-22 06:51:29"
"168","34","C","Membuat makanan kaleng menggunakan mesin","2024-08-22 06:51:29","2024-08-22 06:51:29"
"169","34","D","Memproduksi rokok kretek linting tangan","2024-08-22 06:51:29","2024-08-22 06:51:29"
"170","34","E","Pembuatan produk manufaktur","2024-08-22 06:51:29","2024-08-22 06:51:29"
"171","35","A","Magnesium","2024-08-22 06:51:51","2024-08-22 06:51:51"
"172","35","B","Aluminium","2024-08-22 06:51:51","2024-08-22 06:51:51"
"173","35","C","Titanium","2024-08-22 06:51:51","2024-08-22 06:51:51"
"174","35","D","Baja karbon","2024-08-22 06:51:51","2024-08-22 06:51:51"
"175","35","E","Brass","2024-08-22 06:51:51","2024-08-22 06:51:51"
